Year,Month,Day,Hour,Temp,DewTemp,Pre,Wind,Sky,pre1,pre2,pre3
2014, 01, 01, 00,    -8,   -40, 10122,   290,    60,     1, -9999,     0
2014, 01, 01, 01,    -4,   -40, 10121,   360,    40, -9999, -9999, -9999
2014, 01, 01, 02,    -3,   -29, 10118,   340,   100, -9999, -9999, -9999
2014, 01, 01, 04,    -3,   -19, 10110,   350,   100, -9999, -9999, -9999
2014, 01, 01, 05,    -5,   -24, 10107,   360,   110, -9999, -9999, -9999
2014, 01, 01, 06,    -3,   -21, 10100,   360,   110,     2, -9999, -9999
2014, 01, 01, 07,    -3,   -17, 10098,   350,   100, -9999, -9999, -9999
2014, 01, 01, 08,    -4,   -20, 10101,   360,    90, -9999, -9999, -9999
2014, 01, 01, 09,     0,   -29, 10094,   330,    70,     6, -9999, -9999
2014, 01, 01, 10,    -1,   -27, 10092,   340,    90, -9999, -9999, -9999
2014, 01, 01, 11,    -1,   -27, 10087,   340,   100, -9999, -9999, -9999
2014, 01, 01, 12,    -2,   -25, 10083,   340,    90,     6, -9999,    0
2014, 01, 01, 13,    10,   -40, 10076,    40,    30, -9999, -9999, -9999
2014, 01, 01, 14,    12,   -36, 10068,   120,    60, -9999, -9999, -9999
