ID,Year,Month,Day,Hour,Temp,DewTemp,Pre,Wind,Sky,pre1,pre2,pre3
Day 1,2014,1,1,0,-8,-40,10122,290,60,1,-9999,0
Day 2,2014,1,1,1,-4,-40,10121,360,40,-9999,-9999,-9999
Day 3,2014,1,1,2,-3,-29,10118,340,100,-9999,-9999,-9999
Day 4,2014,1,1,4,-3,-19,10110,350,100,-9999,-9999,-9999
Day 5,2014,1,1,5,-5,-24,10107,360,110,-9999,-9999,-9999
Day 6,2014,1,1,6,-3,-21,10100,360,110,2,-9999,-9999
Day 7,2014,1,1,7,-3,-17,10098,350,100,-9999,-9999,-9999
Day 8,2014,1,1,8,-4,-20,10101,360,90,-9999,-9999,-9999
Day 9,2014,1,1,9,0,-29,10094,330,70,6,-9999,-9999
Day 10,2014,1,1,10,-1,-27,10092,340,90,-9999,-9999,-9999
Day 11,2014,1,1,11,-1,-27,10087,340,100,-9999,-9999,-9999
Day 12,2014,1,1,12,-2,-25,10083,340,90,6,-9999,0
Day 13,2014,1,1,13,10,-40,10076,40,30,-9999,-9999,-9999
Day 14,2014,1,1,14,12,-36,10068,120,60,-9999,-9999,-9999
